Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,CI/CD pipeline example
2,Text,Standard,1,,,,,,,Developers
3,Text,Standard,1,,,,,,,Source Code Management (SCM)
4,Text,Standard,1,,,,,,,Callback
5,Text,Standard,1,,,,,,,Automation  Server
6,Text,Standard,1,,,,,,,Staging Environment
7,Text,Standard,1,,,,,,,Production
8,Text,Standard,1,,,,,,,Build
9,Text,Standard,1,,,,,,,Unit testing
10,Text,Standard,1,,,,,,,Build docker image
11,Text,Standard,1,,,,,,,Tag image
12,Text,Standard,1,,,,,,,Push image  to registry
13,Text,Standard,1,,,,,,,Load testing
14,Text,Standard,1,,,,,,,Misc testing
15,Text,Standard,1,,,,,,,"Automatic, expression-based, or manual trigger"
16,AWS General Users,AWS Architecture 2019,1,,,,,,,
17,ImageSearchBlock2,Standard,1,,,,,,,
18,ImageSearchBlock2,Standard,1,,,,,,,
19,Text,Standard,1,,52,,,,,EMS_CI/CD_pipeline_1.0.0
20,Text,Standard,1,,52,,,,,"Ihor Hryshkov  |  July 5, 2020"
21,User Image,User Images,1,,,,,,,
22,Text,Standard,1,,,,,,,Integration testing
23,Text,Standard,1,,,,,,,Test docker image
24,Text,Standard,1,,,,,,,Automatic trigger
25,User Image,User Images,1,,,,,,,
26,Text,Standard,1,,,,,,,Email
27,Line,,1,,,2,3,None,Arrow,Commit
28,Line,,1,,,3,4,Arrow,None,
29,Line,,1,,,3,5,None,Arrow,Trigger  build
30,Line,,1,,,5,6,None,Arrow,Trigger  build
31,Line,,1,,,6,7,None,Arrow,Deploy
32,Line,,1,,,5,8,None,Arrow,
33,Line,,1,,,8,9,None,Arrow,
34,Line,,1,,,9,4,None,Arrow,Outcome  notifications
35,Line,,1,,,11,12,None,Arrow,
36,Line,,1,,,6,24,None,Arrow,
37,Line,,1,,,13,14,None,Arrow,
38,Line,,1,,,8,4,None,Arrow,Outcome notification
39,Line,,1,,,7,15,None,Arrow,
40,Line,,1,,52,19,19,None,None,
41,Line,,1,,,9,22,None,Arrow,
42,Line,,1,,,22,,None,Arrow,Outcome  notifications
43,Line,,1,,,22,10,None,Arrow,
44,Line,,1,,,10,,None,Arrow,Outcome  notifications
45,Line,,1,,,10,23,None,Arrow,
46,Line,,1,,,23,11,None,Arrow,
47,Line,,1,,,23,,None,Arrow,Outcome  notifications
48,Line,,1,,,11,4,None,Arrow,Outcome  notifications
49,Line,,1,,,24,13,None,Arrow,
50,Line,,1,,,14,26,None,Arrow,Outcome  notifications
51,Line,,1,,,13,26,None,Arrow,Outcome  notifications
52,Group 1,,1,,,,,,,