Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1,Text Area 2,Text Area 3
1,Page,,,,,,,,,Web sequence diagram example,,
2,Actor,UML,1,7,,,,,,,,
3,Process,Flowchart Shapes,1,7|11,,,,,,,,
4,Process,Flowchart Shapes,1,7,,,,,,:Application,,
5,Process,Flowchart Shapes,1,7|11,,,,,,,,
6,Process,Flowchart Shapes,1,7|11,,,,,,,,
7,Option Loop,UML,1,,,,,,,User login,,
8,Text,Standard,1,,146,,,,,EMS_User-Application-Service_Sequence_1.0.0,,
9,Text,Standard,1,,146,,,,,"Ihor Hryshkov  |  July 5, 2020",,
10,Process,Flowchart Shapes,1,7,,,,,,:WebService API,,
11,Alternative,UML,1,7,,,,,,Alt,[Succeful],[Unsucceful]
12,Process,Flowchart Shapes,1,7|11,,,,,,,,
13,Process,Flowchart Shapes,1,7|11,,,,,,,,
14,Actor,UML,1,19,,,,,,,,
15,Process,Flowchart Shapes,1,19|21,,,,,,,,
16,Process,Flowchart Shapes,1,19,,,,,,:Application,,
17,Process,Flowchart Shapes,1,19|21,,,,,,,,
18,Process,Flowchart Shapes,1,19|21,,,,,,,,
19,Option Loop,UML,1,,,,,,,Load users,,
20,Process,Flowchart Shapes,1,19,,,,,,:WebService API,,
21,Alternative,UML,1,19,,,,,,Alt,[Succeful],[Unsucceful]
22,Process,Flowchart Shapes,1,19|21,,,,,,,,
23,Process,Flowchart Shapes,1,19|21,,,,,,,,
24,Actor,UML,1,29,,,,,,,,
25,Process,Flowchart Shapes,1,29|31,,,,,,,,
26,Process,Flowchart Shapes,1,29,,,,,,:Application,,
27,Process,Flowchart Shapes,1,29|31,,,,,,,,
28,Process,Flowchart Shapes,1,29|31,,,,,,,,
29,Option Loop,UML,1,,,,,,,Send status,,
30,Process,Flowchart Shapes,1,29,,,,,,:WebService Callback,,
31,Alternative,UML,1,29,,,,,,Alt,[Succeful],[Unsucceful]
32,Process,Flowchart Shapes,1,29|31,,,,,,,,
33,Process,Flowchart Shapes,1,29|31,,,,,,,,
34,Actor,UML,1,39,,,,,,,,
35,Process,Flowchart Shapes,1,39|41,,,,,,,,
36,Process,Flowchart Shapes,1,39,,,,,,:Application,,
37,Process,Flowchart Shapes,1,39|41,,,,,,,,
38,Process,Flowchart Shapes,1,39|41|47,,,,,,,,
39,Option Loop,UML,1,,,,,,,Add counter,,
40,Process,Flowchart Shapes,1,39,,,,,,:WebService API,,
41,Alternative,UML,1,39,,,,,,Alt,[Succeful],[Unsucceful]
42,Process,Flowchart Shapes,1,39|41,,,,,,,,
43,Process,Flowchart Shapes,1,39|41|47,,,,,,,,
44,Process,Flowchart Shapes,1,39,,,,,,:WebService Callback,,
45,Process,Flowchart Shapes,1,39|41,,,,,,,,
46,Process,Flowchart Shapes,1,39|41|47,,,,,,,,
47,Alternative,UML,1,39|41,,,,,,Alt,[API],[Callback]
48,Actor,UML,1,53,,,,,,,,
49,Process,Flowchart Shapes,1,53|55,,,,,,,,
50,Process,Flowchart Shapes,1,53,,,,,,:Application,,
51,Process,Flowchart Shapes,1,53|55,,,,,,,,
52,Process,Flowchart Shapes,1,53|55,,,,,,,,
53,Option Loop,UML,1,,,,,,,Send counter,,
54,Process,Flowchart Shapes,1,53,,,,,,:WebService Callback,,
55,Alternative,UML,1,53,,,,,,Alt,[Succeful],[Unsucceful]
56,Process,Flowchart Shapes,1,53|55,,,,,,,,
57,Process,Flowchart Shapes,1,53|55,,,,,,,,
58,Actor,UML,1,63,,,,,,,,
59,Process,Flowchart Shapes,1,63|65,,,,,,,,
60,Process,Flowchart Shapes,1,63,,,,,,:Application1,,
61,Process,Flowchart Shapes,1,63|65,,,,,,,,
62,Process,Flowchart Shapes,1,63|65,,,,,,,,
63,Option Loop,UML,1,,,,,,,Send/Receive message,,
64,Process,Flowchart Shapes,1,63,,,,,,:Application2,,
65,Alternative,UML,1,63,,,,,,Alt,[Succeful],[Unsucceful]
66,Process,Flowchart Shapes,1,63|65,,,,,,,,
67,Process,Flowchart Shapes,1,63|65,,,,,,,,
68,Actor,UML,1,63,,,,,,,,
69,Process,Flowchart Shapes,1,63|65,,,,,,,,
70,Process,Flowchart Shapes,1,63,,,,,,:WebService API,,
71,Process,Flowchart Shapes,1,63|65,,,,,,,,
72,Alternative,UML,1,63|65,,,,,,Alternative,[Succeful],[Unsuccesful]
73,Line,,1,,,6,,None,None,,,
74,Line,,1,,,4,6,None,None,,,
75,Line,,1,,,3,5,None,Arrow,Enter username,,
76,Line,,1,,146,,,None,None,,,
77,Line,,1,,,13,,None,None,,,
78,Line,,1,,,10,12,None,None,,,
79,Line,,1,,,12,13,None,None,,,
80,Line,,1,,,5,12,None,Arrow,Add or get user,,
81,Line,,1,,,12,5,None,Arrow,User,,
82,Line,,1,,,5,3,None,Arrow,Show user chat,,
83,Line,,1,,,13,6,None,Arrow,Error,,
84,Line,,1,,,6,3,None,Arrow,Show error message,,
85,Line,,1,,,18,,None,None,,,
86,Line,,1,,,16,18,None,None,,,
87,Line,,1,,,20,22,None,None,,,
88,Line,,1,,,22,23,None,None,,,
89,Line,,1,,,23,,None,None,,,
90,Line,,1,,,17,22,None,Arrow,Get users,,
91,Line,,1,,,22,17,None,Arrow,List users,,
92,Line,,1,,,17,15,None,Arrow,Show users,,
93,Line,,1,,,23,18,None,Arrow,Error,,
94,Line,,1,,,18,15,None,Arrow,Show error message,,
95,Line,,1,,,26,28,None,None,,,
96,Line,,1,,,28,,None,None,,,
97,Line,,1,,,32,33,None,None,,,
98,Line,,1,,,33,,None,None,,,
99,Line,,1,,,30,32,None,None,,,
100,Line,,1,,,27,32,Arrow,None,Send status by user ID,,
101,Line,,1,,,27,27,None,Arrow,Update user status,,
102,Line,,1,,,27,32,None,Arrow,OK,,
103,Line,,1,,,28,33,None,Arrow,Error,,
104,Line,,1,,,36,38,None,None,,,
105,Line,,1,,,40,42,None,None,,,
106,Line,,1,,,42,43,None,None,,,
107,Line,,1,,,43,43,None,None,,,
108,Line,,1,,,37,42,None,Arrow,Add counter,,
109,Line,,1,,,42,37,None,Arrow,OK,,
110,Line,,1,,,37,37,None,Arrow,Update user counters,,
111,Line,,1,,,42,45,None,Arrow,Processing,,
112,Line,,1,,,44,45,None,None,,,
113,Line,,1,,,45,46,None,None,,,
114,Line,,1,,,45,37,None,Arrow,Send counter,,
115,Line,,1,,,43,38,None,Arrow,Error,,
116,Line,,1,,,43,38,None,Arrow,OK,,
117,Line,,1,,,43,46,None,Arrow,Processing,,
118,Line,,1,,,46,38,None,Arrow,Error,,
119,Line,,1,,,45,37,Arrow,None,OK,,
120,Line,,1,,,52,,None,None,,,
121,Line,,1,,,50,52,None,None,,,
122,Line,,1,,,54,56,None,None,,,
123,Line,,1,,,57,,None,None,,,
124,Line,,1,,,56,57,None,None,,,
125,Line,,1,,,51,56,Arrow,None,Send counter,,
126,Line,,1,,,51,51,None,Arrow,Update user counters,,
127,Line,,1,,,51,56,None,Arrow,OK,,
128,Line,,1,,,52,57,None,Arrow,Error,,
129,Line,,1,,,60,62,None,None,,,
130,Line,,1,,,62,,None,None,,,
131,Line,,1,,,64,66,None,None,,,
132,Line,,1,,,67,,None,None,,,
133,Line,,1,,,66,67,None,None,,,
134,Line,,1,,,61,66,Arrow,None,Send message,,
135,Line,,1,,,62,67,None,Arrow,Error,,
136,Line,,1,,,69,66,None,Arrow,Write message,,
137,Line,,1,,,61,59,None,Arrow,Show message in chat,,
138,Line,,1,,,61,66,None,Arrow,OK,,
139,Line,,1,,,67,69,None,Arrow,Show error message,,
140,Line,,1,,,66,69,None,Arrow,Show message in chat,,
141,Line,,1,,,70,71,None,None,,,
142,Line,,1,,,67,71,None,Arrow,Get user from app1 meta,,
143,Line,,1,,,71,67,None,Arrow,User from app1,,
144,Line,,1,,,71,67,None,Arrow,Error,,
145,Line,,1,,,67,66,None,Arrow,Resend,,
146,Group 1,,1,,,,,,,,,